Prog_Navio;Prog_Receb;Nome_Mercadoria;Cod_NCM;Qtd_Previsao_Receb;Tons_Prev_Receb;Doc_Controle;Cod_Documento
1605;3235;HOT ROLLED STEEL COIL;72253000;532;12949.530;NULL;NULL
1605;3236;HOT ROLLED STEEL COIL;72253000;292;5068.330;NULL;NULL
1606;3204;BARROTES DE ALUMINIO;7601.20.00;17;40.061;PIN158PMY35B;PIN158PMY35B
1606;3205;BARROTES DE ALUMINIO;7601.20.00;4;9.744;PIN158PMY35B;PIN158PMY35B
1606;3206;BARROTES DE ALUMINIO;7601.20.00;16;40.971;PIN158PMY35B;PIN158PMY35B
1606;3207;BARROTES DE ALUMINIO;7601.20.00;4;10.581;PIN158PMY35B;PIN158PMY35B
1606;3208;Bobinas de Aluminio;7605.11.10;147;308.746;PIN158PMY36B;PIN158PMY36B
1606;3209;Bobinas de Aluminio;7605.11.10;145;307.487;PIN158PMY36B;PIN158PMY36B
1606;3210;Bobinas de Aluminio;7605.11.10;48;102.940;PIN158PMY36B;PIN158PMY36B
1606;3211;Bobinas de Aluminio;7605.11.10;149;307.513;PIN158PMY36B;PIN158PMY36B
1606;3212;BOBINAS DERIVADAS ALUMINIO;7605.21.90;18;25.248;PIN158PMY37B;PIN158PMY37B
1606;3213;LINGOTES DE ALUMINIO;7601.10.00;690;713.815;PIN158PMY38B;PIN158PMY38B
1606;3214;LINGOTES DE ALUMINIO;7601.10.00;208;203.992;PIN158PMY38B;PIN158PMY38B
1609;3233;HOT ROLLED STEEL COIL;72253000;264;6446.210;NULL;NULL
1609;3234;HOT ROLLED STEEL COIL;72253000;112;2731.910;NULL;NULL
